"","ward_pre","obama_sen_primary_pct","keyes_pct","bush2004_pct","obama_pres_primary_pct","mccain_pct","votes_cast_2004_sen_dem_primary","votes_cast_2004_senate","votes_cast_2004_president","votes_cast_2008_president_dem_primary","votes_cast_2008_president","nondemo.distance","demo.distance","white_median_income","black_median_income","white_name","black_name","registrants"
"1982","39 33",0.5,0.192468619246862,0.321285140562249,0.476534296028881,0.297087378640777,190,478,498,277,515,9500.60359860146,9716.18646181688,22800,2947,0.607182311856463,0.0221947390172976,440
"1983","39 34",0.415789473684211,0.178879310344828,0.244769874476987,0.581227436823105,0.196629213483146,190,464,478,277,534,7665.28961154593,8966.3878170665,37431,40260,0.724756824204087,0.0153925412314817,469
"1984","39 35",0.48469387755102,0.1931330472103,0.320512820512821,0.606177606177606,0.209433962264151,196,466,468,259,530,10099.4412025133,10344.6342093867,90453,84692,0.677044715608054,0.00971232557124514,605
"1985","39 36",0.246696035242291,0.234159779614325,0.387978142076503,0.416666666666667,0.327102803738318,227,363,366,228,321,11547.2547545635,11689.5653244832,7634,0,0.883880737689254,0.0116855829135578,491
"1986","39 37",0.47463768115942,0.22787610619469,0.436559139784946,0.614886731391586,0.333333333333333,276,452,465,309,498,11359.4382937281,12019.2608018303,53301,0,0.939656709523766,0.00568001214055918,392
"1987","39 38",0.494565217391304,0.154228855721393,0.349009900990099,0.49800796812749,0.307692307692308,184,402,404,251,390,10280.9465257243,10996.5782108093,27059,0,0.886073421828383,0.00124447260771313,302
"1988","39 39",0.440860215053763,0.140449438202247,0.230769230769231,0.535087719298246,0.232142857142857,93,178,182,114,168,10980.7077247357,11471.8187876771,18933,0,0.744466566329968,0,191
"1989","39 40",0.270676691729323,0.254355400696864,0.466442953020134,0.424657534246575,0.426056338028169,133,287,298,146,284,12107.1955578826,12539.4983782868,27838,0,0.752854097115021,0.000598722504821307,259
"1990","39 41",0.527777777777778,0.232142857142857,0.433333333333333,0.495049504950495,0.329411764705882,72,168,180,101,170,11170.4837553244,11029.213070133,53118,35664,0.70918357196673,0.0109265500070909,148
"1991","39 42",0.35609756097561,0.3,0.479411764705882,0.512690355329949,0.473214285714286,205,330,340,197,336,12009.3540545468,12602.8993415847,43223,3008,0.933903101413884,0.00149512988303406,378
"1992","39 43",0.483870967741935,0.211148648648649,0.335537190082645,0.690196078431373,0.216949152542373,155,592,605,255,590,9667.9628933046,9597.83711855439,63992,79016,0.667453502997988,0.0728500024845002,452
"1993","39 44",0.454054054054054,0.12430426716141,0.206521739130435,0.550161812297735,0.161240310077519,185,539,552,309,645,9206.80588857112,9687.32889919034,41289,43836,0.317724474196828,0.0230298268395412,604
"1994","39 45",0.361904761904762,0.177777777777778,0.208510638297872,0.541353383458647,0.193430656934307,105,225,235,133,274,9565.16091322387,10148.7476309151,13672,12880,0.547526805735928,0.029990320438092,242
"1995","39 46",0.421875,0.143292682926829,0.228486646884273,0.509345794392523,0.191489361702128,128,328,337,214,376,8569.02887345425,9570.50776835304,52021,34549,0.473818673925161,0.0141852115767667,439
"1996","39 47",0.317829457364341,0.24187725631769,0.43205574912892,0.439393939393939,0.394736842105263,129,277,287,132,266,12019.8649717613,12301.9563517141,25704,0,0.766270327730898,0,287
"1997","40 1",0.336448598130841,0.179487179487179,0.29153605015674,0.437908496732026,0.201166180758017,107,312,319,153,343,10052.0197704807,9258.38610968376,30488,69360,0.584450616061986,0.0151217535957319,299
"1998","40 2",0.4140625,0.11038961038961,0.225806451612903,0.540880503144654,0.172413793103448,128,308,310,159,319,10690.630395237,9896.02527726013,35357,337,0.711140175555398,0.0159893144988137,340
"1999","40 3",0.765432098765432,0.0597701149425287,0.132723112128146,0.76953125,0.0911016949152542,162,435,437,256,472,11138.6537798711,10359.3342767889,23986,19931,0.664977002864385,0.132249788108507,374
"2000","40 4",0.73015873015873,0.117142857142857,0.162393162393162,0.638211382113821,0.124668435013263,189,350,351,246,377,10980.890585226,10195.2485253608,38033,46976,0.806259985238045,0.0702012015356789,357
"2001","40 5",0.553072625698324,0.0896860986547085,0.179824561403509,0.61003861003861,0.159663865546218,179,446,456,259,476,9332.0330777892,8544.12743606559,23966,31132,0.693707639352731,0.028766392110033,366
"2002","40 6",0.561728395061728,0.101781170483461,0.192982456140351,0.704280155642023,0.105485232067511,162,393,399,257,474,9107.81991129868,8321.62176903693,28198,21069,0.711066983254762,0.0206941399993315,341
"2003","40 7",0.726027397260274,0.0697674418604651,0.140552995391705,0.62890625,0.0666666666666667,146,430,434,256,465,11282.7570408841,10497.4640899241,36679,37186,0.653386499143522,0.132076307632763,581
"2004","40 8",0.614035087719298,0.207692307692308,0.348148148148148,0.5,0.270676691729323,57,130,135,52,133,11071.0480937507,10274.1495630597,23760,22810,0.394212421566105,0.0688412814583907,127
"2005","40 9",0.427083333333333,0.137037037037037,0.220216606498195,0.439153439153439,0.187817258883249,96,270,277,189,394,10801.9840355437,10007.9148203707,18959,12898,0.423147812797638,0.0864185171771058,172
"2006","40 10",0.453125,0.178147268408551,0.276995305164319,0.54978354978355,0.24578313253012,192,421,426,231,415,11014.0500007562,10218.9800785209,49204,118808,0.698629459831911,0.0169963053979774,503
