"","ward_pre","dole_pct","bush2000_pct","votes_cast_1996","votes_cast_2000","nondemo.distance","demo.distance","white_median_income","black_median_income","white_name","black_name","registrants"
"1954","39 12",0.154205607476636,0.230125523012552,214,239,9018.60738037103,9621.90973316702,24584,34833,0.201891975817622,0.0455160390142203,556
"1955","39 13",0.0816326530612245,0.108433734939759,147,166,8957.33962266985,9280.34858756308,21601,7653,0.185340920183906,0.028725358988559,227
"1956","39 14",0.214285714285714,0.246537396121884,364,361,9189.7860639135,9225.16274391995,32104,12737,0.446426029973411,0.0838881533587045,379
"1957","39 15",0.581196581196581,0.586206896551724,234,232,12224.0580193274,12953.6413440553,40223,62994,0.850676224916741,0.00594507542171847,296
"1958","39 16",0.265957446808511,0.282798833819242,282,343,10565.8321330804,10494.7884771275,46713,59330,0.552477506415658,0.0139792664815976,406
"1959","39 17",0.259259259259259,0.241286863270777,351,373,10842.1709335879,10541.2498298436,84395,31979,0.586231763335482,0.00961431700735034,457
"1960","39 18",0.304225352112676,0.269333333333333,355,375,10893.5394127951,10830.5735543572,64952,83785,0.649586893494889,0.0182668959129578,307
"1961","39 19",0.291187739463602,0.345890410958904,261,292,8898.56923986719,10033.4503698791,44854,5283,0.554210007628926,0.00530451507306768,398
"1962","39 20",0.50314465408805,0.471264367816092,318,348,11485.5974285203,12355.3508864648,53308,0,0.887471852803159,0.00567318400215492,555
"1963","39 21",0.218884120171674,0.266932270916335,233,251,8920.26377247944,9901.39480916623,36644,12511,0.4880257258357,0.0107603080697514,315
"1964","39 22",0.119791666666667,0.217898832684825,192,257,8891.26490328782,8999.39364944406,33723,100551,0.184917208603917,0.0493401786193627,416
"1965","39 23",0.470238095238095,0.430851063829787,168,188,13012.525195301,14029.322491034,23378,5122,0.963786658003856,0.00516316295853447,313
"1966","39 24",0.167910447761194,0.185975609756098,268,328,8708.93220646273,9360.60191497516,17260,7528,0.245960564835389,0.0325815636990428,616
"1967","39 25",0.145833333333333,0.218446601941748,144,206,8677.58920952682,9175.51134364369,9668,7911,0.221021470703791,0.0818627213843225,219
"1968","39 26",0.425925925925926,0.485074626865672,378,402,11646.104041315,12064.4908050153,59327,0,0.835021884548268,0.00996361272596843,467
"1969","39 27",0.158590308370044,0.215827338129496,227,278,8611.33247733823,8729.59415488988,31474,40046,0.254675268483866,0.0649505353810853,421
"1970","39 28",0.472081218274112,0.52803738317757,197,214,12552.0353994139,13586.0830698656,33589,31982,0.945156583412144,0.0097647716534823,144
